ERROR - 2018-02-05 14:20:42 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:20:45 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:20:48 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:20:51 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:20:54 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:20:57 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:00 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:03 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:06 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:09 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:12 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:15 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:18 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:21 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:24 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:27 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:30 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:33 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:36 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:39 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:42 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:45 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
ERROR - 2018-02-05 14:21:48 --> Severity: Parsing Error --> syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' D:\xampp\htdocs\turf_tab\turftab_service\controllers\Tictactoe.php 69
